,German,English
314,halt,stop
315,allein,alone
316,beim,at the
317,sprechen,speak
318,beide,both
319,gefunden,found
320,hatten,had
321,sache,Thing
322,hilfe,Help
323,verdammt,damned
324,ne,ne
325,jeder,everyone
326,warst,were
327,gern,gladly
328,konnte,could
329,darüber,about that
330,halten,hold
331,siehst,see
332,verstehe,understand
333,jahren,years
334,kam,came
335,kind,child
336,wusste,knew
337,wahr,true
338,seinen,his
339,dazu,to
340,bruder,brothers
341,daran,it
342,ihrem,their
343,denken,think
344,könnten,could
345,dank,thanks
346,würden,would
347,lieber,rather
348,fall,case
349,deiner,yours
350,sehe,see
351,egal,no matter
352,kennen,know
353,deinem,your
354,vergessen,to forget
355,frage,question
356,mache,make
357,komme,get
358,sage,legend
359,mag,like
360,sieh,look
361,echt,real
362,gib,give
363,eigentlich,actually
364,jeden,each
365,dad,dad
366,gab,gave
367,uhr,Clock
368,stadt,city
369,männer,Men
370,baby,infant
371,fahren,drive
372,namen,names
373,bekommen,to get
374,kopf,head
375,hi,Hi
376,gehe,go
377,kleine,small
378,später,later
379,glück,luck
380,letzte,latest
381,freunde,friends
382,n,n
383,all,Alles
384,darauf,thereon
385,ende,end
386,dr.,dr.
387,bald,soon
388,töten,kill
389,dinge,things
390,meinst,mean
391,toll,Great
392,eins,one
393,minuten,minutes
394,vielen,a lot of
395,bereit,ready
396,weit,far
397,ahnung,idea
398,seiner,his
399,bisschen,little
400,tür,door
401,auto,automobile
402,jungs,guys
403,eure,your
404,augen,eyes
405,polizei,police
406,stehen,stand
407,sterben,to die
408,hätten,had
409,draußen,outside
410,kenne,know
411,fast,nearly
412,runter,down
413,vorbei,past
414,treffen,to meet
415,gerne,with pleasure
416,dran,tuned
417,wurden,were
418,arbeiten,work
419,mom,mom
420,verrückt,crazy
421,neue,new
422,ging,went
423,hinter,Behind
424,sorgen,to care
425,einzige,only one
426,jemanden,someone
427,darum,therefore
428,tochter,daughter
429,braucht,need
430,idee,idea
431,schwester,sister
432,drin,in it
433,ruhig,calm
434,sah,saw
435,ganzen,all
436,spät,late
437,ziemlich,quite
438,solltest,should
439,name,Surname
440,sogar,even
441,kurz,short
442,kerl,Guy
443,frauen,women
444,liegt,lies
445,suchen,search
446,finde,find
447,je,ever
448,woher,from where
449,lang,long
450,job,job
451,keiner,none
452,seinem,his
453,hört,hears
454,verstehen,understand
455,spielen,play
456,s.,s.
457,überhaupt,at all
458,teufel,devil
459,verstanden,Understood
460,verloren,lost
461,große,size
462,hand,hand
463,grund,reason
464,jahr,year
465,kommst,coming
466,mama,mummy
467,ruhe,Quiet
468,gewesen,been
469,tod,death
470,stunden,hours
471,hoffe,hope
472,denkst,think
473,oben,above
474,gestern,yesterday
475,versuchen,to attempt
476,art,kind
477,letzten,last
478,schatz,sweetheart
479,endlich,at last
480,he,hey
481,nimm,take
482,etwa,approximately
483,erzählt,tells
484,läuft,running
485,schwer,heavy
486,anders,different
487,miss,ill
488,musste,had to
489,fünf,five
490,wasser,water
491,lässt,leaves
492,erste,first
493,versucht,tries
494,gekommen,came
495,geschichte,history
496,wenig,little
497,holen,to fetch
498,bedeutet,means
499,nett,kind
500,wahrheit,truth
501,woche,week
502,bringt,brings
503,deshalb,therefore
504,welche,Which
505,bestimmt,certainly
506,hoch,high
507,alter,Age
508,sagst,say
509,schau,show
510,ah,Ah
511,land,country
512,zimmer,room
513,wagen,dare
514,vier,four
515,gefallen,like
516,spaß,fun
517,niemals,No way
518,schuld,fault
519,getötet,killed
520,wollten,wanted to
521,verlassen,leave
522,zeigen,demonstrate
523,beste,best
524,ernst,serious
525,unserer,our
526,denen,to those
527,ort,place
528,bleibt,remains
529,würdest,would
530,manchmal,sometimes
531,glaubst,think
532,seite,page
533,lasst,leaves
534,zwischen,between
535,eben,just
536,während,while
537,spiel,game
538,nehme,take
539,ersten,first
540,guter,goods
541,chance,chance
542,freundin,girlfriend
543,krieg,war
544,gefällt,like
545,kleinen,small
546,erzählen,tell
547,anderes,other
548,tage,days
549,entschuldigen,to apologize
550,wichtig,important
551,gehst,going
552,allen,all
553,bett,bed
554,mrs.,mrs.
555,sachen,stuff
556,the,the
557,schlecht,bad
558,schule,school
559,entschuldigung,sorry
560,wort,word
561,john,John
562,hättest,had
563,wären,would
564,typ,Type
565,schlafen,sleep
566,äh,um
567,tu,tu
568,euer,your
569,captain,captain
570,gesicht,face
571,falls,if
572,neuen,new
573,bloß,just
574,unten,below
575,teil,part
576,beiden,both
577,mensch,human
578,kleiner,smaller
579,stellen,put
580,oft,often
581,sorge,worry
582,gedacht,thought
583,tust,do
584,trinken,drink
585,einige,some
586,dies,this
587,ding,thing
588,unseren,our
589,kriegen,Obtain
590,blut,blood
591,ehrlich,honest
592,eltern,parents
593,scheint,seems
594,herz,heart
595,jack,Jack
596,glücklich,happy
597,alte,old
598,alt,old
599,bleib,permanent
600,wiedersehen,meet again
601,frei,free
602,wen,whom
603,drauf,it
604,möglich,possible
605,irgendwie,somehow
606,reicht,enough
607,fest,firmly
608,besten,best
609,waffe,weapon
610,kaum,barely
611,irgendwas,anything
612,klingt,sounds
613,platz,place
614,brauchst,need
615,rede,speech
616,papa,father
617,falsch,not correct
618,sondern,rather
619,alten,old
620,nummer,number
621,früher,earlier
622,jungen,boys
623,wohin,where
624,außer,except
625,früh,early
626,setzen,put
627,zuerst,first
628,wahrscheinlich,probably
629,dürfen,allowed to
630,jede,each
631,arsch,ass
632,telefon,phone
633,tue,do
634,kennst,know
635,willkommen,welcome
636,plan,plan
637,großen,huge
638,retten,save
639,hierher,here
640,wär,would
641,bring,bring
642,fehler,error
643,wollt,want
644,dollar,dollar
645,zehn,ten
646,allem,all
647,pass,passport
648,nächste,next
649,stunde,hour
650,hände,hands
651,gegeben,given
652,menge,amount
653,langsam,slowly
654,bereits,already
655,wartet,waiting
656,sechs,six
657,lieben,love
658,meines,mine
659,büro,office
660,nächsten,next
661,gebe,give
662,wochen,weeks
663,ruf,call
664,schaffen,create
665,leider,Unfortunately
666,scheiß,shit
667,hölle,hell
668,trotzdem,Nevertheless
669,doktor,doctor
670,tja,tja
671,new,new
672,voll,full
673,film,Movie
674,überall,all over
675,hund,dog
676,geworden,become
677,direkt,directly
678,wolltest,wanted
679,tat,did
680,denkt,thinks
681,schiff,ship
682,neues,new
683,wem,whom
684,könig,king
685,danach,after that
686,funktioniert,works
687,hattest,had
688,lernen,learn
689,deswegen,therefore
690,wow,Wow
691,nennen,call
692,hm,Hm
693,feuer,Fire
694,laufen,to run
695,alleine,alone
696,erinnern,recall
697,völlig,completely
698,kleines,small
699,könnt,can
700,stelle,Job
701,kumpel,Dude
702,verlieren,to lose
703,probleme,problems
704,spricht,speaks
705,kaffee,coffee
706,luft,air
707,fand,found
708,i,i
709,entschuldige,Excuse me
710,ziehen,pull
711,verschwinden,disappear
712,könntest,could
713,seht,look
714,aufhören,stop
715,eigenen,own
716,richtige,right one
717,unserem,our
718,suche,search
719,zwar,though
720,groß,large
721,hol,hol
722,buch,book
723,krank,ill
724,fühle,feel
725,jedes,each
726,verstehst,understand
727,wert,value
728,arzt,doctor
729,froh,glad
730,versuche,tries
731,straße,road
732,rufen,call
733,heiraten,marry
734,super,great
735,sam,sam
736,lebt,lives
737,gutes,good
738,lasse,leave
739,onkel,uncle
740,total,total
741,gebracht,brought
742,party,party
743,erklären,to explain
744,spielt,plays
745,wahl,choice
746,vertrauen,trust
747,damals,back then
748,tagen,meet
749,leicht,light
750,nachdem,after this
751,gegangen,went
752,gefühl,feeling
753,kaufen,to buy
754,geschafft,made
755,typen,types
756,interessiert,Interested
757,möchten,would like
758,halte,think
759,hält,keeps
760,glaub,think
761,irgendwo,somewhere
762,stück,piece
763,genauso,just like that
764,kennt,knows
765,genommen,took
766,zukunft,future
767,weniger,Less
768,cool,cool
769,licht,light
770,getroffen,met
771,himmel,sky
772,nachricht,message
773,drüben,over there
774,passt,fit
775,sagten,said
776,kümmern,To take care of
777,laut,according to
778,vergiss,forget
779,angerufen,called
780,sitzen,sit
781,daß,that
782,erde,earth
783,großer,greater
784,schlüssel,key
785,rest,rest
786,passieren,happen
787,eher,rather
788,gefragt,asked
789,gefängnis,jail
790,opfer,Victim
791,körper,body
792,solche,such
793,mist,damn
794,mr,mr
795,findet,finds
796,schreiben,write
797,böse,evil
798,gesprochen,spoken
799,versuch,attempt
800,vorstellen,imagine
801,wovon,About what
802,sobald,as soon as
803,nochmal,once again
804,herren,Men's
805,sex,sex
806,waffen,weapons
807,wohnung,flat
808,weh,sore
809,heißen,be called
810,krankenhaus,hospital
811,bringe,bring
812,höre,hear
813,millionen,millions
814,klasse,class
815,hart,hard
816,worden,been
817,sinn,sense
818,außerdem,also
819,verletzt,injured
820,ändern,to change
821,erfahren,Experienced
822,tragen,carry
823,wenigstens,at least
824,vorsichtig,careful
825,daddy,daddy
826,stolz,proud
827,stark,strongly
828,fällt,falls
829,möchtest,want
830,leuten,people
831,besonders,especially
832,schöne,lovely
833,schicken,send
834,person,person
835,schätze,wealth
836,solange,as long as
837,länger,longer
838,großartig,Great
839,lacht,laughs
840,anrufen,call
841,stand,was standing
842,redest,talking about
843,fühlen,feel
844,erwartet,expected
845,boden,ground
846,boss,boss
847,stimme,voice
848,glaubt,believes
849,still,quiet
850,sicherheit,security
851,setz,translated
852,ma,ma
853,mund,mouth
854,kämpfen,fight
855,wisst,know
856,lachen,laugh
857,hörst,hear
858,zeug,stuff
859,lustig,funny
860,umbringen,kill
861,sollst,shalt
862,hasse,hate
863,schlimm,bad
864,o,O
865,unglaublich,incredible
866,wärst,'d
867,laden,load
868,führen,to lead
869,gestorben,died
870,schauen,watch
871,meinung,opinion
872,lesen,read
873,mörder,killer
874,frank,frank
875,ähm,um
876,geschehen,done
877,geschäft,business
878,idiot,idiot
879,verzeihung,forgiveness
880,fliegen,to fly
881,zeig,show
882,team,team
883,general,general
884,mike,mike
885,aufs,onto
886,york,York
887,vorher,previously
888,schluss,Enough
889,schneller,more quickly
890,liebt,loves
891,verdient,earned
892,mögen,to like
893,meisten,most
894,denk,thinking
895,umgebracht,killed
896,perfekt,Perfect
897,versprochen,promised
898,handy,mobile
899,hinten,behind
900,monate,months
901,erinnere,remember
902,acht,eight
903,arbeitet,is working
904,fallen,fall
905,rufe,call
906,nötig,necessary
907,a,a
908,mord,murder
909,heraus,out
910,tages,day
911,unmöglich,impossible
912,liebling,Darling
913,charlie,charlie
914,tatsächlich,indeed
915,folgen,consequences
916,bitten,ask
917,behalten,to keep
918,nähe,neighborhood
919,arbeite,working
920,joe,joe
921,verdammte,damned
922,plötzlich,suddenly
923,lebens,life
924,hole,get
925,tisch,table
926,michael,Michael
927,hörte,heard
928,jemals,ever
929,liegen,lie
930,verkaufen,to sell
931,gefährlich,dangerous
932,anfangen,to begin
933,bekommt,gets
934,machte,made
935,ha,Ha
936,hotel,hotel
937,hilft,help
938,werdet,will
939,meister,master
940,kampf,struggle
941,antwort,answer
942,konnten,could
943,geschickt,cleverly
944,jedem,each
945,obwohl,although
946,sieben,seven
947,komisch,funny
948,gewinnen,win
949,ihres,their
950,bezahlt,paid
951,you,you
952,voller,full of
953,unterwegs,on road
954,dumm,stupid
955,ärger,trouble
956,bild,picture
957,george,George
958,neu,New
959,bezahlen,pay
960,dagegen,on the other hand
961,seien,are
962,starb,died
963,tom,tom
964,monaten,months
965,leiche,corpse
966,niemanden,anyone
967,auge,eye
968,arschloch,asshole
969,verheiratet,married
970,peter,Peter
971,zieh,pulling
972,nimmt,takes
973,gerettet,saved
974,agent,agent
975,traum,dream
976,entscheidung,decision
977,schlimmer,worse
978,regeln,regulate
979,fenster,window
980,fangen,to catch
981,fort,on
982,ständig,constantly
983,findest,find
984,gefahr,danger
985,absolut,absolutely
986,mary,mary
987,augenblick,moment
988,bescheid,decision
989,rum,rum
990,gedanken,thoughts
991,werd,expectant
992,ziel,aim
993,benutzt,used
994,bewegung,Move
995,jemandem,somebody
996,wünschte,wish
997,worte,worte
998,kamen,came
999,welcher,which one
